commit	val_bpb	artifact_mb	status	description
c53267e	2.677200	6.3	keep	baseline 9L/512d/8H/4KV 2xMLP relu^2 200iter
e559951	3.061500	8.8	discard	11L 3xMLP LeakyReLU(0.5)^2 (underfitted at 105 steps)
376f045	2.723100	6.5	discard	LeakyReLU(0.5)^2 only (worse)
dde8b03	2.836500	6.1	discard	Lower LRs + Muon 0.99 + grad clip 0.3 (underfit)
49fcc2d	2.371600	10.7	keep	Warmdown 50 (fix LR decay, was ~0 from step 0)
env_only	2.461500	10.9	discard	WARMDOWN_ITERS=0 (no warmdown, worse than 50)
18de79d	2.369100	10.7	keep	LeakyReLU(0.5)^2 (marginal gain)
f8f5392	3.348800	7.8	discard	EMA decay=0.997 (too slow for 140 steps)
f9bac2a	2.402600	13.1	discard	3x MLP (fewer steps, slight regression)
env_only	2.423200	12.1	discard	MATRIX_LR=0.08 TIED_EMBED_LR=0.1 (overfitting)
env_only	2.339200	11.4	keep	MATRIX_LR=0.06 TIED_EMBED_LR=0.07 GRAD_CLIP=0.3
f02c5e4	2.350700	11.3	discard	EMA decay=0.9 (slightly worse)
env_only	2.347800	11.4	discard	WARMUP_STEPS=5 (no benefit)
env_only	2.417200	12.2	discard	MUON_MOMENTUM=0.99 (worse, momentum warmup too slow)
d0f2dac	2.394600	12.5	discard	10L (127 steps, capacity vs steps tradeoff loses)
d41bf1a	2.341700	10.9	discard	Weight decay 0.04 (marginal loss vs no WD)
env_only	2.333800	11.3	keep	WEIGHT_DECAY=0.01 (best so far)
env_only	2.352600	11.4	discard	WARMDOWN_ITERS=30 (worse than 50)
env_only	2.322400	11.2	keep	WARMDOWN_ITERS=70 (best)
env_only	2.318800	11.1	keep	WARMDOWN_ITERS=90 (best)
env_only	2.309700	10.9	keep	WARMDOWN_ITERS=120 (best)
env_only	2.308100	10.5	keep	WARMDOWN_ITERS=150 (marginal gain)
env_only	2.354400	10.7	discard	LOGIT_SOFTCAP=15 (too restrictive)
env_only	2.316700	10.5	discard	QK_GAIN_INIT=2.0 (slightly worse)
env_only	2.313400	10.5	discard	TIED_EMBED_INIT_STD=0.01 (worse)
env_only	2.477100	8.7	discard	TRAIN_BATCH_TOKENS=16384 (too few steps)
env_only	2.408100	8.6	discard	MUON_BACKEND_STEPS=3 (worse gradients)
c67148e	2.340500	10.4	discard	LN scale 1/sqrt(layer+1) (too aggressive for 9L)
env_only	2.310200	10.5	discard	MATRIX_LR=0.08 WARMDOWN=200 (same as best)
env_only	2.293800	10.5	keep	ROPE_BASE=1000 (new best)
env_only	2.287100	10.5	keep	ROPE_BASE=500 (new best)
env_only	2.280400	10.5	keep	ROPE_BASE=250 (new best)
env_only	2.290100	10.5	discard	ROPE_BASE=100 (too low, 250 is better)
env_only	2.278100	11.1	keep	MATRIX_LR=0.08 TIED_EMBED_LR=0.09 (new best)
env_only	2.281900	10.5	discard	WARMDOWN_ITERS=200 (slightly worse than 150)
env_only	2.295800	11.5	discard	MATRIX_LR=0.10 TIED_EMBED_LR=0.12 (too high)
env_only	2.231600	11.6	keep	TRAIN_SEQ_LEN=512 (181 steps, new best!)
env_only	2.211500	11.8	keep	TRAIN_SEQ_LEN=256 (~199 steps, new best!)
env_only	2.214800	11.9	discard	TRAIN_SEQ_LEN=128 (too short, context quality loss)
env_only	2.237600	12.8	discard	10L + seq256 (177 steps, capacity vs steps tradeoff loses)
94ccbcb	2.217400	11.7	keep	Verify best config (9L/256seq/rope250/lr0.08/wd0.01)
env_only	2.219600	11.7	discard	ROPE_BASE=150 (same as 250 within noise)
env_only	2.208800	11.8	keep	ROPE_BASE=50 + seq256 (new best)
env_only	2.215000	11.8	discard	ROPE_BASE=25 (too low)
env_only	2.303700	11.7	discard	LOGIT_SOFTCAP=1000 (no cap, much worse)
env_only	2.248100	11.8	discard	LOGIT_SOFTCAP=50 (worse than 30)
env_only	2.194800	11.9	keep	LOGIT_SOFTCAP=20 (new best!)
env_only	2.200200	11.9	discard	LOGIT_SOFTCAP=25 (between 20 and 30)
env_only	2.196700	0.0	discard	QK_GAIN_INIT=1.0 (same as 1.5 within noise)
env_only	2.196100	12.0	discard	WEIGHT_DECAY=0.005 (same as 0.01 within noise)
env_only	2.201300	12.1	discard	MUON_BACKEND_STEPS=7 (fewer steps outweighs quality)
